epoch;loss;lr;val_loss
0;0.5803019081974029;0.01;0.42096851232528687
1;0.3911681402015686;0.01;0.39975159560203555
2;0.35848773097991943;0.01;0.35056738150596617
3;0.33692371891975403;0.01;0.32669503067970274
4;0.321172166261673;0.01;0.3134387361717224
5;0.3071809420681;0.01;0.29434551259994507
6;0.2925100201892853;0.01;0.2947043980407715
7;0.28381836077690126;0.01;0.27778808473587036
8;0.30810325598716737;0.01;0.31001601353645325
9;0.2976641454410553;0.01;0.28826426602363586
10;0.282680025062561;0.005;0.2808240710926056
11;0.27773042860984803;0.005;0.27401562376022337
12;0.27436940408706667;0.005;0.2760483677959442
13;0.2702143032646179;0.005;0.26933331520080567
14;0.26574266788482664;0.005;0.2627307581806183
15;0.26380631350517275;0.005;0.25939254707336423
16;0.2593898127174377;0.005;0.26980483018875123
17;0.2569823523044586;0.005;0.26098259044647215
18;0.2510298780822754;0.0025;0.24919400022029878
19;0.2497523796272278;0.0025;0.2488020785474777
20;0.2482879868412018;0.0025;0.2473357828426361
21;0.24724032467365264;0.0025;0.2445564681529999
22;0.24581747960090639;0.0025;0.24682989510536194
23;0.24567915526866912;0.0025;0.2438673565864563
24;0.2414176031446457;0.00125;0.24000925757408142
25;0.2404656338262558;0.00125;0.24184971812725067
26;0.23967194556236268;0.00125;0.23906499668121337
27;0.2379403479242325;0.000625;0.23764307223320008
28;0.23794161093235017;0.000625;0.23762514108657837
29;0.23722186055660247;0.000625;0.23672637788772583
30;0.23608603235244752;0.0003125;0.2356599968290329
31;0.23578807843208313;0.0003125;0.23579024077892302
32;0.23547600583553313;0.0003125;0.23503774383544923
33;0.23491673340797425;0.00015625;0.23489766585350036
34;0.2347613817501068;0.00015625;0.2343737808942795
35;0.23458375374794008;0.00015625;0.23428627604961394
36;0.2343985220003128;0.00015625;0.23430423608779907
37;0.23408740339279174;7.8125e-05;0.23394428863048553
38;0.23398998805999757;7.8125e-05;0.23384323800086976
39;0.23381782782554628;3.90625e-05;0.23362561782360078
40;0.2337654559850693;3.90625e-05;0.23357949059963226
41;0.2336698205423355;1.953125e-05;0.23354352509021759
