epoch;validity;uniqueness;originality
0;0.00;0.00;0.00
1;0.88;0.25;1.00
2;0.66;0.47;1.00
3;0.39;0.88;1.00
4;0.46;0.92;1.00
5;0.67;1.00;1.00
6;0.59;1.00;1.00
7;0.71;1.00;1.00
8;0.38;1.00;1.00
9;0.52;1.00;1.00
10;0.54;1.00;1.00
11;0.58;1.00;1.00
12;0.60;1.00;1.00
13;0.62;1.00;1.00
14;0.62;1.00;1.00
15;0.68;1.00;1.00
16;0.62;1.00;1.00
17;0.69;1.00;1.00
18;0.58;1.00;1.00
19;0.70;1.00;1.00
20;0.58;1.00;1.00
21;0.64;1.00;1.00
22;0.65;1.00;1.00
23;0.67;1.00;1.00
24;0.65;1.00;1.00
25;0.61;1.00;1.00
26;0.63;1.00;1.00
27;0.68;1.00;1.00
28;0.70;1.00;1.00
29;0.69;1.00;1.00
30;0.68;1.00;1.00
31;0.73;1.00;1.00
32;0.72;1.00;1.00
33;0.67;1.00;1.00
34;0.64;1.00;1.00
35;0.67;1.00;1.00
36;0.65;1.00;1.00
37;0.68;1.00;1.00
38;0.64;1.00;1.00
39;0.68;1.00;1.00
40;0.70;1.00;1.00
41;0.66;1.00;1.00
